from,to,time,time period,edge,directly
14,HG,1956,,,
HG,RG,1953,,,
RG,HEG,1968,,4,
HEG,CG,2014,,4,
CG,STB,2014,,4,
ED,15,,,,
RB,15,,,,
CRB,15,,,,
HDO,15,,,,
AS,15,,,,
HG,15,,,,
HEG,15,,,,
CG,15,,,,
STB,15,,,,
ED,RB,,,,
RB,CRB,1943,,,
CRB,HDO,1943,,,
HDO,AS,1943,,1,
AS,HG,1956,,,
HG,HEG,1968,,4,
HEG,CG,2014,,4,
CG,STB,2014,,4,
CFM,16,1921,,,
HG,16,,,,
OMGG,16,,,,
HG,16,,,,
HEG,16,,,,
CG,16,,,,
STB,16,,,,
CFM,HG,1945,,,
HG,OMGG,1950,,,
OMGG,HG,1956,,,
HG,HEG,1968,,4,
HEG,CG,2014,,4,
CG,STB,2014,,4,
EF,17,1922,,,
HG,17,,,,
OMGG,17,,,,
HG,17,,,,
HEG,17,,,,
CG,17,,,,
STB,17,,,,
EF,HG,1945,,,
HG,OMGG,1950,,,
OMGG,HG,1956,,,
HG,HEG,1968,,4,
HEG,CG,2014,,4,
CG,STB,2014,,4,
PG,18,,,,
PG,18,,,,
RG,18,,,,
HG,18,,,,
HEG,18,,,,
CG,18,,,,
STB,18,,,,
PG,PG,1942,,,
PG,RG,1944,,1,
RG,HG,1956,,1,
HG,HEG,1968,,4,
HEG,CG,2014,,4,
CG,STB,2014,,4,
BG,19,,,,
AOM,19,,,,
CGB,19,,,,
E,19,,,,
CGB,19,,,,
HG,19,,,,
HEG,19,,,,
CG,19,,,,
STB,19,,,,
BD,19,,,,
BG,AOM,1913,,,
AOM,CGB,1914,,,
CGB,E,1914,,1,
E,CGB,1943,,,
CGB,HG,1956,,,
HG,HEG,1968,,4,
HEG,CG,2014,,4,
CG,STB,2014,,4,
STB,BD,2021,,eigentumsübergabe,
BG,20,,,,
RVH,20,,,,
HG,20,,,,
HEG,20,,,,
CG,20,,,,
STB,20,,,,
BD,20,,,,
BG,RVH,1936,,,
RVH,HG,1956,,,
HG,HEG,1968,,4,
HEG,CG,2014,,4,
CG,STB,2021,,4,
STB,BD,2021,,eigentumsübergabe,
LG,21,,,,
HG,21,,,,
HEG,21,,,,
CG,21,,,,
STB,21,,,,
LG,HG,1956,,,
HG,HEG,1968,,4,
HEG,CG,2014,,4,
CG,STB,2014,,4,
OM,42,1536,,15,2
KBCFP,42,NA,,12,
TH,42,1944,,12,
HG,42,1944,,12,
FM,42,1945,,12,
AMR,42,1949,,12,
MBHE,42,1952,,12,
BD,42,1952,,12,
OM,KBCFP,1536,,15,2
KBCFP,TH,1944,,,2
TH,HG,1944,,1,1
HG,FM,1945,,5,1
FM,AMR,1949,,9,2
AMR,MBHE,1952,,10,1
MBHE,BD,1952,,11,1
MSM,43,1798,,15,1
FP,43,1943,,12,
HG,43,1944,,12,
FM,43,1945,,12,
JOD,43,1956,,12,
ALT,43,1956,,12,
KP,43,1956,,12,
KRM,43,1957,,12,
BTVK,43,1957,,12,
BD,43,,,12,
MSM,FP,NA,,,2
FP,HG,1944,,,2
HG,FM,1945,,5,1
FM,JOD,1956,,2,1
JOD,ALT,1956,,2,1
ALT,KP,1957,,8,1
KP,KRM,1957,,9,1
KRM,BTVK,1957,,10,1
BTVK,BD,1969,,11,1
HG,44,NA,,12,2
PRSS,44,2020,,12,
BD,44,2020,,12,
HG,PRSS,2020,,,2
PRSS,BD,2020,,3,1
JPH,45,1794,,15,1
FR,45,1939,,12,
HG,45,1939,,12,
KH,45,1940,,12,
KKM,45,1941,,12,
BAA,45,1943,,12,
AMR,45,1945,,12,
DB,45,1949,,12,
EFR,45,2017,,12,
JPH,FR,1939,,,2
FR,HG,1939,,6,1
HG,KH,1940,,1,1
KH,KKM,1941,,5,1
KKM,BAA,1943,,5,2
BAA,AMR,1945,,9,2
AMR,DB,1949,,10,1
DB,EFR,2017,,7,1
ALS,46,NA,,15,1
TH,46,1943,,12,
HG,46,1944,,12,
DR,46,1944,,12,
NSPZ,46,1945,,12,
BD,46,1952,,12,
ALS,TH,1943,,,2
TH,HG,1944,,1,1
HG,DR,1944,,1,1
DR,NSPZ,1945,,5,1
NSPZ,BD,1952,,11,1
MS,48,1907,,12,
EFU,48,1933,,12,
GE,48,,,12,
ARL,48,1937,,12,
HG,48,,,12,
MS,EFU,,,,
EFU,GE,1933,,6,1
GE,ARL,,,,
ARL,HG,1937,,1,1
MS,49,1909,,12,
EFU,49,1933,,12,
FBZ,49,1933,,12,
GE,49,,,12,
ARL,49,1937,,12,
HG,49,2000,,12,
AG,49,,,12,
MS,EFU,1909,,,
EFU,FBZ,1933,,6,1
FBZ,GE,1933,,,
GE,ARL,,,,
ARL,HG,1937,,1,1
HG,AG,2000,,1,2
CDJE,50,1769,,12,
PM,50,,,12,
LDE,50,1898,,12,
AHD,50,1898,,12,
HDdlM,50,,,12,
DWP,50,1944,,12,
RG,50,1953,,12,
HG,50,,,12,
PRSS,50,2019,,12,
EHDdlM,50,,,12,
CDJE,PM,1769,,,
PM,LDE,,,,2
LDE,AHD,1898,,,
AHD,HDdlM,1898,,1,1
HDdlM,DWP,,,6,1
DWP,RG,1944,,,2
RG,HG,1953,,,1
HG,PRSS,,,4,
PRSS,EHDdlM,2019,,7,1
MS,51,1909,,12,
EFU,51,1933,,12,
GE,51,,,12,
ARL,51,1937,,12,
HG,51,2004,,12,
KL,51,,,12,
VdHMW,51,,,12,
MS,EFU,1909,,,
EFU,GE,1933,,6,1
GE,ARL,,,,
ARL,HG,1937,,1,1
HG,KL,2004,,,
KL,VdHMW,,,,
MS,52,,,12,
EFU,52,1933,,12,
GE,52,,,12,
ARL,52,1937,,12,
HG,52,,,12,
MS,EFU,,,,
EFU,GE,1933,,6,1
GE,ARL,,,,
ARL,HG,1937,,1,1
AVC,53,,,12,
GMU,53,,,12,
AGGP,53,1899,,12,
HDdlM,53,,,12,
DWP,53,1945,,12,
HG,53,,,12,
PRSS,53,2019,,12,
EHDdlM,53,,,12,
AVC,GMU,,,,2
GMU,AGGP,,,,
AGGP,HDdlM,1899,,,1
HDdlM,DWP,,,,
DWP,HG,1945,,,
HG,PRSS,,,,
PRSS,EHDdlM,2019,,,
CGU,54,,,12,
GFT,54,,,12,
AID,54,,,12,
AHdSN,54,1942,,12,
B,54,1944,,12,
RG,54,1953,,12,
HG,54,,,12,
PRSS,54,2020,,12,
EAID,54,,,12,
CGU,GFT,,,,2
GFT,AID,,,,2
AID,AHdSN,,,,
AHdSN,B,1942,,,
B,RG,1944,,,2
RG,HG,1953,,,
HG,PRSS,,,,
PRSS,EAID,2020,,,1
ASA,55,,,12,
GMU,55,,,12,
AGGP,55,1899,,12,
HDdlM,55,,,12,
DWP,55,1944,,12,
RG,55,1953,,12,
HG,55,,,12,
PRSS,55,2019,,12,
EHDdlM,55,,,12,
ASA,GMU,,,,2
GMU,AGGP,,,,1
AGGP,HDdlM,1899,,,
HDdlM,DWP,,,,
DWP,RG,1944,,,
RG,HG,1953,,,
HG,PRSS,,,,
PRSS,EHDdlM,2019,,,
BJ,56,1625,,,
FP,56,NA,,,
