from,to,time,time_period,edge,directly
P,12,2022,8,12,
OD,GN,,,,2
GN,IL,,,,2
IL,PSC,1935,3,,1
PSC,MP,1935,3,,1
MP,PGSP,1937,3,6,1
PGSP,N,1937,3,,1
N,DR,,,6,1
DR,HG,1945,4,,2
HG,OMGG,1950,5,9,1
OMGG,HG,1956,6,,2
HG,HEG,1968,6,4,1
HEG,CG,2014,8,4,1
CG,STB,2021,8,4,1
STB,EILPSC,2022,8,,1
EILPSC,KK,2022,8,1,1
KK,P,2022,8,1,1
OD,13,1922,2,15,
GN,13,,,12,
IL,13,,,12,
PSC,13,1935,3,12,
MP,13,1935,3,12,
PGSP,13,1937,3,12,
N,13,1937,3,12,
DR,13,,,12,
HG,13,1956,6,12,
HEG,13,1968,6,12,
CG,13,2014,8,12,
STB,13,2021,8,12,
EILPSC,13,2022,8,12,
KK,13,2022,8,12,
P,13,2022,8,12,
OD,GN,,,,
GN,IL,,,,
IL,PSC,1935,3,,
PSC,MP,1935,3,1,1
MP,PGSP,1937,3,6,1
PGSP,N,1937,3,,
N,DR,,,6,1
DR,HG,1956,6,,
HG,HEG,1968,6,4,1
HEG,CG,2014,8,4,1
CG,STB,2021,8,4,1
STB,EILPSC,2022,8,,1
EILPSC,KK,2022,8,1,1
KK,P,2022,8,1,1
JD,14,,,15,2
HG,14,1956,6,12,
RG,14,1953,5,12,
HEG,14,1968,6,12,
CG,14,2014,8,12,
STB,14,2014,8,12,
14,HG,1956,6,,
HG,RG,1953,5,,
RG,HEG,1968,6,4,1
HEG,CG,2014,8,4,1
CG,STB,2014,8,4,1
ED,15,,,15,
RB,15,,,12,
CRB,15,1943,4,12,
HDO,15,1943,4,12,
AS,15,,,12,
HG,15,1956,6,12,
HEG,15,1968,6,12,
CG,15,2014,8,12,
STB,15,2014,8,12,
ED,RB,,,,
RB,CRB,1943,4,,
CRB,HDO,1943,4,1,1
HDO,AS,,,1,1
AS,HG,1956,6,,
HG,HEG,1968,6,4,1
HEG,CG,2014,8,4,1
CG,STB,2014,8,4,1
CFM,16,1921,2,15,2
HG,16,1945,4,12,
OMGG,16,1950,5,12,
HG,16,1956,6,12,
HEG,16,1968,6,12,
CG,16,2014,8,12,
STB,16,2014,8,12,
CFM,HG,1945,4,,2
HG,OMGG,1950,5,9,1
OMGG,HG,1956,6,,1
HG,HEG,1968,6,4,1
HEG,CG,2014,8,4,1
CG,STB,2014,8,4,1
EF,17,1922,2,15,2
HG,17,1945,4,12,
OMGG,17,1950,5,12,
HG,17,1956,6,12,
HEG,17,1968,6,12,
CG,17,2014,8,12,
STB,17,2014,8,12,
EF,HG,1945,4,,2
HG,OMGG,1950,5,9,1
OMGG,HG,1956,6,,1
HG,HEG,1968,6,4,1
HEG,CG,2014,8,4,1
CG,STB,2014,8,4,1
PG,18,,,15,2
AL,18,1942,4,12,
RG,18,1944,4,12,
HG,18,1956,6,12,
HEG,18,1968,6,12,
CG,18,2014,8,12,
STB,18,2014,8,12,
PG,AL,1942,4,,2
AL,RG,1944,4,1,1
RG,HG,1956,6,1,1
HG,HEG,1968,6,4,1
HEG,CG,2014,8,4,1
CG,STB,2014,8,4,1
BG,19,,,15,2
AOM,19,1913,1,12,
CGB,19,1914,1,12,
E,19,,,12,
